"","mature_mirna_id","target_symbol"
"85921","hsa-miR-1275","SF3B4"
"85922","hsa-miR-1275","SFN"
"85928","hsa-miR-1275","SH3PXD2A"
"85929","hsa-miR-1275","SH3RF1"
"85937","hsa-miR-1275","SLAMF7"
"85938","hsa-miR-1275","SLC10A7"
"85946","hsa-miR-1275","SLC25A43"
"85951","hsa-miR-1275","SLC35C2"
"85959","hsa-miR-1275","SLC47A1"
"85961","hsa-miR-1275","SLC4A2"
"85966","hsa-miR-1275","SLFN5"
"86002","hsa-miR-1275","SPATA6"
"86022","hsa-miR-1275","SRPR"
"86033","hsa-miR-1275","STEAP3"
"86037","hsa-miR-1275","STK38"
"86039","hsa-miR-1275","STOML3"
"86048","hsa-miR-1275","SUSD6"
"86050","hsa-miR-1275","SYNDIG1L"
"86058","hsa-miR-1275","SZRD1"
"86062","hsa-miR-1275","TAOK1"
"86070","hsa-miR-1275","TBXA2R"
"86083","hsa-miR-1275","TEPSIN"
"86092","hsa-miR-1275","THRAP3"
"86093","hsa-miR-1275","THSD4"
"86095","hsa-miR-1275","TLN1"
"86097","hsa-miR-1275","TMCO5A"
"86105","hsa-miR-1275","TMEM184B"
"86106","hsa-miR-1275","TMEM189-UBE2V1"
"86112","hsa-miR-1275","TMEM268"
"86113","hsa-miR-1275","TMEM51"
"86114","hsa-miR-1275","TMEM54"
"86123","hsa-miR-1275","TNRC18"
"86135","hsa-miR-1275","TRIB1"
"86165","hsa-miR-1275","UBE2V1"
"86182","hsa-miR-1275","USP31"
"86183","hsa-miR-1275","USP49"
"86186","hsa-miR-1275","UTP4"
"86196","hsa-miR-1275","VPS33A"
"86200","hsa-miR-1275","VSIR"
"86214","hsa-miR-1275","WNT9B"
"86219","hsa-miR-1275","XIRP1"
"86240","hsa-miR-1275","ZFP30"
"86241","hsa-miR-1275","ZFP36"
"86252","hsa-miR-1275","ZNF431"
"86259","hsa-miR-1275","ZNF527"
"8972","hsa-miR-138-1-3p","FAM179A"
"8983","hsa-miR-138-1-3p","SPRED1"
"8985","hsa-miR-138-1-3p","TXLNB"
"8988","hsa-miR-138-1-3p","ZFP36L1"
"21810","hsa-miR-138-1-3p","ATE1"
"21812","hsa-miR-138-1-3p","ATP11C"
"21814","hsa-miR-138-1-3p","BAG4"
"21815","hsa-miR-138-1-3p","C6orf62"
"21816","hsa-miR-138-1-3p","CAPRIN2"
"21818","hsa-miR-138-1-3p","CCND2"
"21821","hsa-miR-138-1-3p","CERS3"
"21822","hsa-miR-138-1-3p","CLEC1A"
"21825","hsa-miR-138-1-3p","CSDE1"
"21826","hsa-miR-138-1-3p","CTNNB1"
"21827","hsa-miR-138-1-3p","CYBRD1"
"21828","hsa-miR-138-1-3p","DLEU7"
"21830","hsa-miR-138-1-3p","DNMT3B"
"21831","hsa-miR-138-1-3p","DPP9"
"21832","hsa-miR-138-1-3p","DUSP11"
"21833","hsa-miR-138-1-3p","DUSP5"
"21836","hsa-miR-138-1-3p","FAM126B"
"21837","hsa-miR-138-1-3p","FAM13B"
"21839","hsa-miR-138-1-3p","FAM198B"
"21840","hsa-miR-138-1-3p","FBXW7"
"21844","hsa-miR-138-1-3p","GDAP1L1"
"21846","hsa-miR-138-1-3p","GPC4"
"21848","hsa-miR-138-1-3p","GXYLT1"
"21854","hsa-miR-138-1-3p","KAT2B"
"21860","hsa-miR-138-1-3p","LNPEP"
"21862","hsa-miR-138-1-3p","LPXN"
"21863","hsa-miR-138-1-3p","MARK3"
"21864","hsa-miR-138-1-3p","MECOM"
"21865","hsa-miR-138-1-3p","MECP2"
"21868","hsa-miR-138-1-3p","MXI1"
"21874","hsa-miR-138-1-3p","NUFIP2"
"21875","hsa-miR-138-1-3p","NUP43"
"21876","hsa-miR-138-1-3p","OSTM1"
"21878","hsa-miR-138-1-3p","PAK7"
"21879","hsa-miR-138-1-3p","PDK1"
"21882","hsa-miR-138-1-3p","PMP22"
"21884","hsa-miR-138-1-3p","PTCD3"
"21892","hsa-miR-138-1-3p","SAV1"
"21895","hsa-miR-138-1-3p","SLMAP"
"21906","hsa-miR-138-1-3p","TIPRL"
"21909","hsa-miR-138-1-3p","TXNDC12"
"21912","hsa-miR-138-1-3p","XPOT"
"21913","hsa-miR-138-1-3p","ZFP36L2"
"74981","hsa-miR-138-1-3p",""
"74994","hsa-miR-138-1-3p","ACTB"
"74995","hsa-miR-138-1-3p","ADAMTS5"
"74999","hsa-miR-138-1-3p","ADTRP"
"75001","hsa-miR-138-1-3p","AFAP1"
"75004","hsa-miR-138-1-3p","AHNAK"
"75008","hsa-miR-138-1-3p","ANKFY1"
"75010","hsa-miR-138-1-3p","ANKRD13A"
"75012","hsa-miR-138-1-3p","ANKRD36B"
